SIC4,YEAR,TCA,TROWA,TW,TA,TROW,XA,MA,XW,MW,PSIC4,EXCHR,GDP,L,LN,LP,H,E,EN,EP,W,V,V1,V2,VP,VP1,VP2,Q,Q2,QP,K,PQ,PV,PVA,PSIC4A,LA,LNA,LPA,HA,EA,ENA,EPA,WA,KA,VA,VA1,QA,LABEL_S4
3741,1986,0.022446806,0.044091972,0.065365088,0.056324384,0.072993346,65294785.69,480256904.9,247184186.8,1049438006,0.748583333,0.72,499167,17127,9385,7742,2.059635753,0.039398373,0.047164373,0.02996774,0.014550019,2610.243707,2525.345307,2518.089725,2405.716919,2327.470771,2320.783703,4016.70573,4005.165312,3334.929482,808.1,0.746432575,0.722154792,0.753881387,0.673549298,168075,88370,79705,1.924659683,0.038172473,0.046066631,0.029420114,0.015285878,16596.535,32515.21447,25862.49785,36707.42721,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1987,0.020975143,0.044555377,0.063308348,0.051504235,0.072316054,79505098.16,474752833.2,271010513.7,1096890850,0.801916667,0.75,524852,18578,10476.21667,8101.783329,1.995733451,0.039138581,0.046122584,0.02963068,0.014847013,2786.006851,2795.048104,2779.590564,2487.282922,2495.354745,2481.554609,4618.161804,4592.621843,3676.447526,886.4,0.797481803,0.80006982,0.771216821,0.709811804,174090,93185,80905,1.950188493,0.037996292,0.045538055,0.029309818,0.015029223,17349.665,36689.37738,28295.465,40028.695,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1988,0.02350543,0.04603578,0.060355044,0.046858593,0.070579287,110273487.4,521237422.3,269960784.4,1209293785,0.849916667,0.81,554466,19319,11202,8117,2.019502279,0.039798536,0.046519237,0.030523523,0.015114379,2971.928626,2979.666665,2946.053535,2650.154653,2657.054886,2627.081086,4746.23688,4692.695362,3784.708599,945.6,0.840328896,0.842516869,0.877772157,0.758960599,176835,94500,82335,1.954150726,0.038301796,0.04618504,0.029253802,0.014970085,18449.92,35510.91789,29131.09077,41898.04165,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1989,0.021428059,0.041608099,0.057442392,0.049194123,0.064241992,88011003.31,511416244.6,244537167.5,1131790768,0.886833333,0.84,577245,19398,10782,8616,2.033925255,0.039324105,0.046404849,0.030476354,0.014984009,2918.872645,2916.085137,2896.936666,2604.046593,2601.559742,2584.476602,4605.509884,4575.267807,3697.234096,1039.1,0.881009943,0.880168583,0.941355426,0.820828971,185735,101675,84060,1.942600523,0.039724469,0.048150875,0.029532287,0.01520245,19744.95,36633.86224,29773.53054,42923.23666,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1990,0.014651306,0.038753363,0.054649112,0.042639383,0.067866689,111066417.3,669820302,307877592.3,1278431155,0.930916667,0.86,579569,19876,11315,8561,2.026258615,0.039559308,0.046083626,0.030923655,0.015261455,3140.425728,3187.653301,3152.591532,2800.466189,2842.581251,2811.315012,4873.80329,4820.195148,3890.614054,1179.9,0.920677289,0.934522977,0.940840238,0.881440882,184835,102175,82660,1.976348899,0.040086777,0.048176003,0.030087785,0.015223924,21204.45,40791.10721,30806.25414,43842.03534,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1991,0.02083629,0.036435394,0.051853721,0.036891818,0.069589817,132228307.9,737207606.9,286185690.9,1359104828,0.9715,0.87,573590,21146,12213,8933,2.032967648,0.039142899,0.045320768,0.030685288,0.01509384,3017.364466,3116.152075,3092.331446,2740.05459,2829.763157,2808.131755,4831.477514,4794.544519,3938.392188,1277.6,0.964073616,0.995637098,0.9854358,0.945172263,186270,102280,83990,1.966900822,0.040121113,0.047609774,0.031001691,0.015761695,22438.67,44036.02449,32723.08167,46921.56033,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1992,0.022558309,0.034498955,0.050001508,0.033603321,0.071732281,200626309,965248565,457857896,1693631603,0.999916667,0.83,577164,21354,11766,9588,2.148404255,0.039866067,0.046770355,0.031403838,0.014617285,3135.8,3135.8,3136.061338,2891.1,2891.1,2891.340945,5041.6,5042.020168,4147,1388.8,1,1,1,1,196265,102430,93835,2.015612511,0.040204392,0.049861076,0.029663185,0.01471671,24026.815,48726.135,34978.15978,50021.10577,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1993,0.016932793,0.041037187,0.046494308,0.026046927,0.074207344,250448304.1,1049462576,502382358.6,1823782686,1.003166667,0.78,583613,20584,10847,9737,2.019656979,0.043117205,0.052480265,0.032676686,0.016179324,3376.215473,3359.695252,3360.558232,3118.332379,3103.074011,3103.871075,5467.776459,5469.180927,4528.492888,1514.3,1.003424343,0.998514469,1.033549278,1.040887236,201810,105830,95980,2.023859137,0.041336777,0.050762256,0.030944002,0.015289603,26569.66,49858.8612,35560.12764,49495.73633,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1994,0.015838756,0.04133464,0.041292643,0.019276422,0.068983201,417243645.1,1144386813,675589234.5,2054266330,1.001083333,0.73,598850,19564,10938,8626,2.023614653,0.046995081,0.054693298,0.037222169,0.018393902,3416.666588,3229.178768,3242.287522,3085.084243,2915.791834,2927.628403,5599.876312,5622.60884,4428.505592,1586.1,1.005147201,0.949990266,1.071583571,1.062077161,208625,105255,103370,1.938038116,0.040868691,0.051850489,0.029686635,0.01531788,29072.06,52020.69301,37785.29305,52592.45212,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1995,0.00665403,0.017252204,0.000583146,0.000754642,0.000389385,502776670.4,1188846101,796421156.9,2241076556,0.998583333,0.73,602716,19657,10376,9281,2.104439177,0.046361315,0.055985169,0.035612351,0.01692249,3681.516413,3334.520043,3357.556538,3344.966431,3029.691126,3050.621714,5791.749424,5831.761662,4723.107756,1627.8,1.005482036,0.910711681,1.118442865,1.091663123,218875,104800,114075,2.000569801,0.040893121,0.053463048,0.029345206,0.014668424,,50963.1889,37882.52879,54419.99169,PHARMACEUTICAL AND MEDICINE INDUSTRY
3741,1996,8.43721E-05,0.001334162,0.000139514,0.000169072,0.000104247,582470053.9,1329691178,909128183.6,2444109430,1.001333333,0.73,617510,20360,10537,9823,2.065838848,0.045479759,0.054878788,0.035397547,0.017134709,3732.348343,3380.560878,3403.915446,3402.439776,3081.747398,3103.037617,5779.598885,5819.527182,4651.076808,1738.4,1.008251034,0.913219691,1.111946723,1.115686104,215660,107580,108080,2.082531458,0.041329079,0.051867015,0.030839893,0.014808849,,53981.59709,39059.87851,57077.96749,PHARMACEUTICAL AND MEDICINE INDUSTRY
3751,1980,0.045805676,0.040180259,0.108993831,0.114831258,0.060107296,16822416.42,130835783.8,21586271.85,146458580.7,0.523818008,0.86,424182,7195,3674,3521,2.04350497,0.032336379,0.034599484,0.029974935,0.014668393,963.5564572,693.0488219,705.4491735,846.4252274,608.8008671,619.6938151,1678.01557,1708.039405,1401.221768,,0.533190404,0.383503196,0.64451,0.671052632,62300,29600,32700,1.93883792,0.02956305,0.035571996,0.02412376,0.012442381,3227.4,5522.334797,4361.764706,10236.27451,PAINT AND VARNISH INDUSTRY
